rsID	GEN	Funktion
rs1042522	TP53	Zellzyklus, Tumorsuppressor (Arg72Pro)
rs78378222	TP53	Krebsrisiko (seltene Variante)
rs2494732	AKT1	Zellwachstum & Apoptose
rs1130233	AKT1	Insulinsensitivität, Zellwachstum
rs12628	HRAS	Zellwachstum, Onkogenpotential
rs112025902	HRAS	Costello-Syndrom, erhöhtes Krebsrisiko
rs701848	PTEN	Tumorsuppressor, Krebsprädisposition
rs1903858	PTEN	Krebsrisiko
rs121913279	PIK3CA	Erhöhtes Krebsrisiko (selten, klinisch relevant)
rs17849079	PIK3CA	Onkogenpotential, Krebsrisiko
rs2072383	SMARCA4	Chromatin-Remodeling, Krebsprädisposition
rs11672275	SMARCA4	Krebsprädisposition
rs1799950	BRCA1	Brust-/Eierstockkrebs-Risiko
rs799917	BRCA1	Brustkrebs-Prädisposition
rs16941	BRCA1	Krebsrisiko, DNA-Reparatur
